county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
48005,1026,2021,167,3464,64445630
48007,1026,2021,122,1516,33412189
48009,1026,2021,9,42,733988
48011,1026,2021,5,16,221363
48013,1026,2021,89,1283,23055641
48015,1026,2021,87,894,18086690
48017,1026,2021,20,270,4621204
48019,1026,2021,62,631,12913885
48021,1026,2021,171,2913,67816997
48023,1026,2021,16,110,1425486
48025,1026,2021,58,917,14803557
48027,1026,2021,754,14487,274252288
48029,1026,2021,4694,104017,2690206301
48031,1026,2021,53,526,13773646
48033,1026,2021,1,0,0
48035,1026,2021,38,297,5530806
48037,1026,2021,225,5137,94379008
48039,1026,2021,739,13869,286135726
48041,1026,2021,600,15730,344858610
48043,1026,2021,72,1114,31698652
48045,1026,2021,4,13,161813
48047,1026,2021,16,253,5233922
48049,1026,2021,84,1552,25726922
48051,1026,2021,39,440,9439423
48053,1026,2021,156,1927,48762818
48055,1026,2021,83,1069,22114419
48057,1026,2021,90,946,18728628
48059,1026,2021,27,304,4639754
48061,1026,2021,840,16253,310309160
48063,1026,2021,20,275,4279896
48065,1026,2021,14,112,1710358
48067,1026,2021,68,675,9518191
48069,1026,2021,14,136,2006377
48071,1026,2021,114,1538,30201653
48073,1026,2021,74,1461,26956509
48075,1026,2021,26,317,5223803
48077,1026,2021,9,102,1840932
48079,1026,2021,5,10,70330
48081,1026,2021,8,30,635790
48083,1026,2021,25,232,3719254
48085,1026,2021,2678,50505,1660813149
48087,1026,2021,10,55,700993
48089,1026,2021,62,868,19620500
48091,1026,2021,475,9849,233918586
48093,1026,2021,25,206,3049311
48095,1026,2021,7,25,1018770
48097,1026,2021,95,1541,30408733
48099,1026,2021,106,1763,28881194
48101,1026,2021,10,39,977542
48103,1026,2021,8,67,846011
48105,1026,2021,26,195,3067316
48107,1026,2021,6,22,320912
48109,1026,2021,17,219,5263324
48111,1026,2021,32,286,5226165
48113,1026,2021,7565,146624,4544445092
48115,1026,2021,33,375,6741490
48117,1026,2021,39,454,7526297
48119,1026,2021,6,23,584581
48121,1026,2021,1848,34932,837591099
48123,1026,2021,65,807,13749717
48125,1026,2021,3,0,0
48127,1026,2021,35,437,12040679
48129,1026,2021,12,96,1476854
48131,1026,2021,21,149,2600012
