county_fips,year,bea_total_income,population
8049,2022,1073329000,15769
8051,2020,951157000,16945
8051,2021,1082691000,17309
8051,2022,1136116000,17267
8053,2020,42703000,788
8053,2021,43544000,773
8053,2022,47340000,775
8055,2020,303737000,6827
8055,2021,343658000,6922
8055,2022,349901000,7082
8057,2020,78529000,1378
8057,2021,82116000,1357
8057,2022,82583000,1302
8059,2020,40220750000,583050
8059,2021,44091942000,580926
8059,2022,45948024000,576143
8061,2020,76132000,1452
8061,2021,98697000,1446
8061,2022,73733000,1424
8063,2020,292303000,7066
8063,2021,364873000,6936
8063,2022,304939000,6961
8065,2020,325508000,7404
8065,2021,359097000,7397
8065,2022,380731000,7327
8067,2020,3397149000,55675
8067,2021,3714788000,56187
8067,2022,3894248000,56607
8069,2020,21508425000,359899
8069,2021,23757935000,362713
8069,2022,24885632000,366778
8071,2020,608739000,14482
8071,2021,638366000,14318
8071,2022,637524000,14327
8073,2020,186938000,5665
8073,2021,207582000,5477
8073,2022,191078000,5510
8075,2020,924324000,21204
8075,2021,1047129000,21122
8075,2022,1035652000,20823
8077,2020,7573662000,156005
8077,2021,8374551000,157434
8077,2022,8670085000,158636
8079,2020,56440000,871
8079,2021,58839000,929
8079,2022,63205000,931
8081,2020,571405000,13264
8081,2021,609149000,13155
8081,2022,626210000,13177
8083,2020,1216110000,25883
8083,2021,1353859000,26216
8083,2022,1336853000,26468
8085,2020,1963643000,42817
8085,2021,2186806000,43230
8085,2022,2227688000,43811
8087,2020,1368442000,29072
8087,2021,1509677000,28995
8087,2022,1480655000,29239
8089,2020,737015000,18667
8089,2021,781868000,18536
8089,2022,760183000,18303
8091,2020,366759000,4881
8091,2021,421317000,5059
8091,2022,449771000,5100
8093,2020,941577000,17419
8093,2021,1030432000,17758
8093,2022,1098411000,17939
8095,2020,198022000,4531
8095,2021,231109000,4508
8095,2022,213977000,4449
8097,2020,2986019000,17354
8097,2021,3388439000,17350
8097,2022,3670234000,16876
8099,2020,493304000,12010
8099,2021,546513000,11994
8099,2022,536071000,11854
8101,2020,7281133000,168325
8101,2021,7938790000,169332
8101,2022,8003899000,169544
8103,2020,323911000,6524
8103,2021,360001000,6453
